encoding,delimiter,bytes,fields,rows,valid,errors,validPackage,frictionLessError,file
iso8859-1,;,24054,4,421,true,0,true,0,326
utf-8,;,1086,10,18,false,6,false,0,327
iso8859-1,;,2488,7,20,true,0,true,0,328
iso8859-1,;,1747212,53,15910,false,129,false,0,329
utf-8,;,262,3,4,true,0,true,0,33
iso8859-1,;,933,8,21,false,9,false,0,330
iso8859-1,;,3750,17,27,false,14,false,0,331
iso8859-1,;,5814,14,87,true,0,true,0,332
utf-8,;,601,6,9,true,0,true,0,333
utf-8,;,303,7,5,true,0,true,0,334
cp1252,;,3696,14,57,true,0,true,0,335
iso8859-1,;,1116,9,12,true,0,true,0,336
iso8859-1,;,1747212,53,15910,false,129,false,0,337
utf-8,;,365,8,2,true,0,true,0,338
utf-8,;,193,5,2,true,0,true,0,339
iso8859-1,;,2974,5,50,true,0,true,0,34
utf-8,;,441,9,6,false,2,false,0,340
utf-8,;,339,10,1,true,0,true,0,341
cp1252,;,1274,10,83,false,74,false,0,342
utf-8,;,955,11,14,true,0,true,0,343
iso8859-1,;,369,7,15,false,15,false,0,344
iso8859-1,;,882,3,41,false,24,false,0,345
utf-8,;,4340,13,36,true,0,true,0,346
cp1252,;,7861,50,103,false,119,false,0,347
iso8859-1,;,508,4,11,true,0,true,0,348
utf-8,;,205,5,2,true,0,true,0,349
utf-8,;,339,10,1,true,0,true,0,35
utf-8,;,1438,17,12,true,0,true,0,350
iso8859-1,;,3784,76,7,true,0,true,0,351
utf-8,;,955,3,13,true,0,true,0,352
utf-8,;,400,9,2,true,0,true,0,353
utf-8,;,360,9,8,false,4,false,0,354
cp1252,;,784,15,7,false,1,false,0,355
utf-8,;,1700,11,24,true,0,true,0,356
utf-8,;,998,12,13,false,5,false,0,357
utf-8,;,1983,13,19,false,2,false,0,358
utf-8,;,147,3,4,true,0,true,0,359
iso8859-1,;,2469,4,26,true,0,true,0,36
utf-8,;,1001,3,71,false,49,false,0,361
utf-8,;,674,3,30,true,0,true,0,362
utf-8,;,3232,21,31,false,17,false,0,363
utf-8,;,485,3,11,false,3,false,0,364
utf-8,;,1177,9,75,false,71,false,0,365
utf-8,;,11052,6,30,true,0,true,0,366
cp1252,;,1144,7,16,false,4,false,0,367
iso8859-1,;,1620,13,41,false,28,false,0,368
utf-8,;,11072,5,150,true,0,true,0,369
iso8859-1,;,580,7,13,true,0,true,0,37
iso8859-1,;,377,2,9,true,0,true,0,370
utf-8,;,977,13,12,true,0,true,0,371
iso8859-1,;,250,3,7,true,0,true,0,372
utf-8,;,390,6,32,false,27,false,0,373
iso8859-1,",",2023,10,24,true,0,true,0,375
utf-8,;,7438,22,258,false,248,false,0,376
iso8859-1,;,2432,3,50,true,0,true,0,377
iso8859-1,;,10250,15,150,false,45,false,0,378
utf-8,;,363,5,32,false,26,false,0,379
iso8859-1,;,3518,130,9,true,0,true,0,38
utf-8,;,316,10,1,true,0,true,0,380
cp1252,;,8454,3,127,true,0,true,0,381
utf-8,;,3087,14,80,false,31,false,0,383
utf-8,;,940,27,12,false,25,false,0,384
utf-8,;,378,6,30,false,25,false,0,385
utf-8,;,442,3,7,true,0,true,0,386
cp1252,;,325,5,4,false,2,false,0,387
utf-8,;,284,4,2,true,0,true,0,388
utf-8,;,350,9,5,true,0,true,0,389
utf-8,;,16873,7,600,true,0,true,0,39
utf-8,;,19692,11,600,true,0,true,0,390
utf-8,;,450,5,8,true,0,true,0,391
utf-8,;,424,12,8,false,5,false,0,392
iso8859-9,;,119,3,3,false,1,false,0,393
