file,encoding,delimiter,bytes,fields,rows,valid,errors,validPackage,frictionLessError,downloadURL
7,utf-8,",",117222,10,589,true,0,true,0,http://servizionline.comune.mt.it:80/atc/files/MATERA/avcp.csv
7,utf-8,",",117222,10,589,true,0,true,0,http://servizionline.comune.mt.it:80/atc/files/MATERA/avcp.csv
7,utf-8,",",117222,10,589,true,0,true,0,http://servizionline.comune.mt.it:80/atc/files/MATERA/avcp.csv
7,utf-8,",",117222,10,589,true,0,true,0,http://servizionline.comune.mt.it:80/atc/files/MATERA/avcp.csv
9,utf-8,",",21345,14,170,false,1,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=522415089&single=true&output=csv
9,utf-8,",",21345,14,170,false,1,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=522415089&single=true&output=csv
9,utf-8,",",21345,14,170,false,1,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=522415089&single=true&output=csv
9,utf-8,",",21345,14,170,false,1,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=522415089&single=true&output=csv
10,utf-8,",",519,13,9,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1387299694&single=true&output=csv
10,utf-8,",",519,13,9,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1387299694&single=true&output=csv
10,utf-8,",",519,13,9,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1387299694&single=true&output=csv
10,utf-8,",",519,13,9,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1387299694&single=true&output=csv
11,utf-8,",",5056,14,40,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=0&single=true&output=csv
11,utf-8,",",5056,14,40,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=0&single=true&output=csv
11,utf-8,",",5056,14,40,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=0&single=true&output=csv
11,utf-8,",",5056,14,40,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=0&single=true&output=csv
12,utf-8,",",9818,5,77,true,0,true,0,https://goo.gl/dvVxYg
12,utf-8,",",9818,5,77,true,0,true,0,https://goo.gl/dvVxYg
12,utf-8,",",9818,5,77,true,0,true,0,https://goo.gl/dvVxYg
12,utf-8,",",9818,5,77,true,0,true,0,https://goo.gl/dvVxYg
13,utf-8,",",18604,135,26,true,0,true,0,https://goo.gl/YXTjpn
13,utf-8,",",18604,135,26,true,0,true,0,https://goo.gl/YXTjpn
13,utf-8,",",18604,135,26,true,0,true,0,https://goo.gl/YXTjpn
13,utf-8,",",18604,135,26,true,0,true,0,https://goo.gl/YXTjpn
14,iso8859-1,",",307,13,7,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1507319699&single=true&output=csv
14,iso8859-1,",",307,13,7,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1507319699&single=true&output=csv
14,iso8859-1,",",307,13,7,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1507319699&single=true&output=csv
14,iso8859-1,",",307,13,7,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1507319699&single=true&output=csv
